1,city,latidute,longtitude,admin_name
2,Kyiv,50.4500,30.5236,"Kyyiv, Misto"
3,Kharkiv,50.0000,36.2292,Kharkivs’ka Oblast’
4,Odesa,46.4775,30.7326,Odes’ka Oblast’
5,Dnipro,48.4500,34.9833,Dnipropetrovs’ka Oblast’
6,Donetsk,48.0089,37.8042,Donets’ka Oblast’
7,Zaporizhzhia,47.8378,35.1383,Zaporiz’ka Oblast’
8,Lviv,49.8419,24.0315,L’vivs’ka Oblast’
9,Kryvyi Rih,47.9086,33.3433,Dnipropetrovs’ka Oblast’
10,Mykolaiv,46.9667,32.0000,Mykolayivs’ka Oblast’
11,Mariupol,47.1306,37.5639,Donets’ka Oblast’
12,Sevastopol,44.6000,33.5333,"Sevastopol’, Misto"
13,Luhansk,48.5833,39.3333,Luhans’ka Oblast’
14,Vinnytsia,49.2372,28.4672,Vinnyts’ka Oblast’
15,Makiivka,48.0556,37.9611,Donets’ka Oblast’
16,Simferopol,44.9484,34.1000,"Krym, Avtonomna Respublika"
17,Poltava,49.5744,34.5686,Poltavs’ka Oblast’
18,Chernihiv,51.4939,31.2947,Chernihivs’ka Oblast’
19,Kherson,46.6333,32.6000,Khersons’ka Oblast’
20,Cherkasy,49.4444,32.0597,Cherkas’ka Oblast’
21,Khmelnytskyi,49.4200,27.0000,Khmel’nyts’ka Oblast’
22,Zhytomyr,50.2544,28.6578,Zhytomyrs’ka Oblast’
23,Chernivtsi,48.2908,25.9344,Chernivets’ka Oblast’
24,Sumy,50.9068,34.7992,Sums’ka Oblast’
25,Horlivka,48.3336,38.0925,Donets’ka Oblast’
26,Rivne,50.6197,26.2514,Rivnens’ka Oblast’
27,Ivano-Frankivsk,48.9228,24.7106,Ivano-Frankivs’ka Oblast’
28,Kamianske,48.5076,34.6132,Dnipropetrovs’ka Oblast’
29,Kremenchuk,49.0775,33.4239,Poltavs’ka Oblast’
30,Kropyvnytskyi,48.5103,32.2667,Kirovohrads’ka Oblast’
31,Ternopil,49.5667,25.6000,Ternopil’s’ka Oblast’
32,Lutsk,50.7478,25.3244,Volyns’ka Oblast’
33,Bila Tserkva,49.7956,30.1167,Kyyivs’ka Oblast’
34,Kramatorsk,48.7208,37.5556,Donets’ka Oblast’
35,Melitopol,46.8333,35.3667,Zaporiz’ka Oblast’
36,Sievierodonetsk,48.9500,38.4833,Luhans’ka Oblast’
37,Drohobych,49.3500,23.5000,L’vivs’ka Oblast’
38,Khrustalnyi,48.1214,38.9453,Luhans’ka Oblast’
39,Uzhhorod,48.6239,22.2950,Zakarpats’ka Oblast’
40,Berdiansk,46.7598,36.7845,Zaporiz’ka Oblast’
41,Sloviansk,48.8700,37.6250,Donets’ka Oblast’
42,Nikopol,47.5772,34.3575,Dnipropetrovs’ka Oblast’
43,Yevpatoriia,45.2000,33.3583,"Krym, Avtonomna Respublika"
44,Pavlohrad,48.5200,35.8700,Dnipropetrovs’ka Oblast’
45,Alchevsk,48.4672,38.7983,Luhans’ka Oblast’
46,Konotop,51.2369,33.2027,Sums’ka Oblast’
47,Brovary,50.5114,30.7903,Kyyivs’ka Oblast’
48,Kamianets-Podilskyi,48.6806,26.5806,Khmel’nyts’ka Oblast’
49,Lysychansk,48.9169,38.4306,Luhans’ka Oblast’
50,Dovzhansk,48.0846,39.6516,Luhans’ka Oblast’
51,Mukacheve,48.4414,22.7136,Zakarpats’ka Oblast’
52,Uman,48.7500,30.2167,Cherkas’ka Oblast’
53,Yalta,44.4994,34.1553,"Krym, Avtonomna Respublika"
54,Yenakiieve,48.2311,38.2053,Donets’ka Oblast’
55,Shostka,51.8657,33.4766,Sums’ka Oblast’
56,Berdychiv,49.8919,28.6000,Zhytomyrs’ka Oblast’
57,Bakhmut,48.6044,38.0067,Donets’ka Oblast’
58,Stakhanov,48.5472,38.6361,Luhans’ka Oblast’
59,Nizhyn,51.0500,31.9000,Chernihivs’ka Oblast’
60,Kostiantynivka,48.5333,37.7167,Donets’ka Oblast’
61,Izmail,45.3500,28.8333,Odes’ka Oblast’
62,Novomoskovsk,48.6328,35.2239,Dnipropetrovs’ka Oblast’
63,Nova Kakhovka,46.7667,33.3667,Khersons’ka Oblast’
64,Kovel,51.2167,24.7167,Volyns’ka Oblast’
65,Smila,49.2167,31.8667,Cherkas’ka Oblast’
66,Kalush,49.0442,24.3597,Ivano-Frankivs’ka Oblast’
67,Korosten,50.9500,28.6500,Zhytomyrs’ka Oblast’
68,Pokrovsk,48.2833,37.1833,Donets’ka Oblast’
69,Boryspil,50.3500,30.9500,Kyyivs’ka Oblast’
70,Kolomyia,48.5167,25.0333,Ivano-Frankivs’ka Oblast’
71,Rubizhne,49.0167,38.3667,Luhans’ka Oblast’
72,Chornomorsk,46.3017,30.6569,Odes’ka Oblast’
73,Khartsyzk,48.0333,38.1500,Donets’ka Oblast’
74,Druzhkivka,48.6203,37.5278,Donets’ka Oblast’
75,Stryi,49.2500,23.8500,L’vivs’ka Oblast’
76,Bilhorod-Dnistrovskyi,46.1833,30.3333,Odes’ka Oblast’
77,Irpin,50.5167,30.2500,Kyyivs’ka Oblast’
78,Novohrad-Volynskyi,50.5833,27.6333,Zhytomyrs’ka Oblast’
79,Lozova,48.8892,36.3161,Kharkivs’ka Oblast’
80,Antratsyt,48.1167,39.0833,Luhans’ka Oblast’
81,Enerhodar,47.4989,34.6558,Zaporiz’ka Oblast’
82,Pryluky,50.6000,32.4000,Chernihivs’ka Oblast’
83,Novovolynsk,50.7333,24.1667,Volyns’ka Oblast’
84,Horishni Plavni,49.0107,33.6562,Poltavs’ka Oblast’
85,Myrnohrad,48.3022,37.2614,Donets’ka Oblast’
86,Shakhtarsk,48.0333,38.4833,Donets’ka Oblast’
87,Okhtyrka,50.3074,34.9016,Sums’ka Oblast’
88,Brianka,48.5133,38.6431,Luhans’ka Oblast’
89,Snizhne,48.0167,38.7667,Donets’ka Oblast’
90,Marhanets,47.6480,34.6167,Dnipropetrovs’ka Oblast’
91,Rovenky,48.0833,39.3667,Luhans’ka Oblast’
92,Fastiv,50.0747,29.9181,Kyyivs’ka Oblast’
93,Lubny,50.0186,32.9869,Poltavs’ka Oblast’
94,Svitlovodsk,49.0833,33.2500,Kirovohrads’ka Oblast’
95,Zhovti Vody,48.3500,33.5167,Dnipropetrovs’ka Oblast’
96,Krasnodon,48.3000,39.7333,Luhans’ka Oblast’
97,Shepetivka,50.1833,27.0667,Khmel’nyts’ka Oblast’
98,Vyshneve,50.3833,30.3667,Kyyivs’ka Oblast’
99,Romny,50.7428,33.4879,Sums’ka Oblast’
100,Myrhorod,49.9640,33.6124,Poltavs’ka Oblast’
101,Podilsk,47.7419,29.5350,Odes’ka Oblast’
102,Pokrov,47.6632,34.0811,Dnipropetrovs’ka Oblast’
103,Volodymyr-Volynskyi,50.8481,24.3222,Volyns’ka Oblast’
104,Pervomaisk,48.6333,38.5167,Luhans’ka Oblast’
105,Dzhankoi,45.7086,34.3933,"Krym, Avtonomna Respublika"
106,Vasylkiv,50.1775,30.3217,Kyyivs’ka Oblast’
107,Dubno,50.3931,25.7350,Rivnens’ka Oblast’
108,Boryslav,49.2881,23.4267,L’vivs’ka Oblast’
109,Netishyn,50.3300,26.6400,Khmel’nyts’ka Oblast’
110,Holubivske,48.6375,38.6433,Luhans’ka Oblast’
111,Kakhovka,46.8000,33.4667,Khersons’ka Oblast’
112,Boyarka,50.3292,30.2886,Kyyivs’ka Oblast’
113,Yasynuvata,48.1167,37.8333,Donets’ka Oblast’
114,Voznesensk,47.5725,31.3119,Mykolayivs’ka Oblast’
115,Bucha,50.5464,30.2350,Kyyivs’ka Oblast’
116,Sambir,49.5167,23.2000,L’vivs’ka Oblast’
117,Avdiivka,48.1333,37.7500,Donets’ka Oblast’
118,Zhmerynka,49.0425,28.0992,Vinnyts’ka Oblast’
119,Toretsk,48.4000,37.8333,Donets’ka Oblast’
120,Hlukhiv,51.6765,33.9078,Sums’ka Oblast’
121,Obukhiv,50.1000,30.6167,Kyyivs’ka Oblast’
122,Chuhuiv,49.8353,36.6756,Kharkivs’ka Oblast’
123,Yuzhne,46.6222,31.1008,Odes’ka Oblast’
124,Kostopil,50.8833,26.4431,Rivnens’ka Oblast’
125,Tokmak,47.2514,35.7058,Zaporiz’ka Oblast’
126,Mohyliv-Podilskyi,48.4500,27.7833,Vinnyts’ka Oblast’
127,Synelnykove,48.3178,35.5119,Dnipropetrovs’ka Oblast’
128,Novoyavorovskoye,49.9311,23.5731,L’vivs’ka Oblast’
129,Pervomaiskyi,49.3869,36.2142,Kharkivs’ka Oblast’
130,Alushta,44.6672,34.3978,"Krym, Avtonomna Respublika"
131,Chortkiv,49.0167,25.8000,Ternopil’s’ka Oblast’
132,Balakliia,49.4564,36.8389,Kharkivs’ka Oblast’
133,Truskavets,49.2806,23.5050,L’vivs’ka Oblast’
134,Novyi Rozdil,49.4703,24.1300,L’vivs’ka Oblast’
135,Khust,48.1814,23.2978,Zakarpats’ka Oblast’
136,Pershotravensk,48.3464,36.4044,Dnipropetrovs’ka Oblast’
137,Khrestivka,48.1500,38.3667,Donets’ka Oblast’
138,Khmilnyk,49.5500,27.9667,Vinnyts’ka Oblast’
139,Ternivka,48.5231,36.0826,Dnipropetrovs’ka Oblast’
140,Zolotonosha,49.6833,32.0333,Cherkas’ka Oblast’
141,Vyshhorod,50.5833,30.5000,Kyyivs’ka Oblast’
142,Bakhchysarai,44.7528,33.8608,"Krym, Avtonomna Respublika"
143,Pereyaslav-Khmel’nyts’kyy,50.0650,31.4450,Kyyivs’ka Oblast’
144,Sofiyivs’ka Borshchahivka,50.4114,30.3692,Kyyivs’ka Oblast’
145,Malyn,50.7689,29.2700,Zhytomyrs’ka Oblast’
146,Perevalsk,48.4333,38.8167,Luhans’ka Oblast’
147,Yany Kapu,45.9675,33.8003,"Krym, Avtonomna Respublika"
148,Haisyn,48.8094,29.3906,Vinnyts’ka Oblast’
149,Korostyshiv,50.3186,29.0592,Zhytomyrs’ka Oblast’
150,Vynohradiv,48.1397,23.0331,Zakarpats’ka Oblast’
151,Slavutych,51.5206,30.7569,Kyyivs’ka Oblast’
152,Saky,45.1336,33.5772,"Krym, Avtonomna Respublika"
153,Kaniv,49.7447,31.4558,Cherkas’ka Oblast’
154,Zolochiv,49.8075,24.9031,L’vivs’ka Oblast’
155,Selydove,48.1500,37.3000,Donets’ka Oblast’
156,Brody,50.0781,25.1542,L’vivs’ka Oblast’
157,Berehove,48.2025,22.6375,Zakarpats’ka Oblast’
158,Koziatyn,49.7167,28.8333,Vinnyts’ka Oblast’
159,Vilnohirsk,48.4824,34.0189,Dnipropetrovs’ka Oblast’
160,Molodohvardiisk,48.3444,39.6583,Luhans’ka Oblast’
161,Znamianka,48.7136,32.6733,Kirovohrads’ka Oblast’
162,Ladyzhyn,48.6667,29.2167,Vinnyts’ka Oblast’
163,Nadvirna,48.6333,24.5833,Ivano-Frankivs’ka Oblast’
164,Lyman,48.9861,37.8111,Donets’ka Oblast’
165,Bilohorodka,50.4000,30.2167,Kyyivs’ka Oblast’
166,Sukhodilsk,48.3500,39.7167,Luhans’ka Oblast’
167,Sokal,50.4833,24.2833,L’vivs’ka Oblast’
168,Liubotyn,49.9489,35.9306,Kharkivs’ka Oblast’
169,Kremenets,50.1081,25.7275,Ternopil’s’ka Oblast’
170,Dolyna,48.9703,24.0108,Ivano-Frankivs’ka Oblast’
171,Henichesk,46.1769,34.7989,Khersons’ka Oblast’
172,Yahotyn,50.2569,31.7817,Kyyivs’ka Oblast’
173,Pidhorodne,48.5737,35.0966,Dnipropetrovs’ka Oblast’
174,Balta,47.9361,29.6225,Odes’ka Oblast’
175,Dolynska,48.1111,32.7648,Kirovohrads’ka Oblast’
176,Kalynivka,49.4472,28.5231,Vinnyts’ka Oblast’
177,Polohy,47.4796,36.2611,Zaporiz’ka Oblast’
178,Piatykhatky,48.4126,33.7034,Dnipropetrovs’ka Oblast’
179,Starobilsk,49.2667,38.9167,Luhans’ka Oblast’
180,Vovchansk,50.2881,36.9461,Kharkivs’ka Oblast’
181,Skadovsk,46.1167,32.9167,Khersons’ka Oblast’
182,Dniprorudne,47.3855,34.9879,Zaporiz’ka Oblast’
183,Svatove,49.4092,38.1619,Luhans’ka Oblast’
184,Amvrosiivka,47.7958,38.4801,Donets’ka Oblast’
185,Korsun-Shevchenkivskyi,49.4261,31.2806,Cherkas’ka Oblast’
186,Bolhrad,45.6855,28.6134,Odes’ka Oblast’
187,Svalyava,48.5472,22.9861,Zakarpats’ka Oblast’
188,Zvenyhorodka,49.0833,30.9667,Cherkas’ka Oblast’
189,Iziaslav,50.1167,26.8000,Khmel’nyts’ka Oblast’
190,Vatutine,49.0167,31.0667,Cherkas’ka Oblast’
191,Sudak,44.8514,34.9725,"Krym, Avtonomna Respublika"
192,Horodok,49.1667,26.5667,Khmel’nyts’ka Oblast’
193,Berezan,50.3197,31.4700,Kyyivs’ka Oblast’
194,Bilohirsk,45.0544,34.6022,"Krym, Avtonomna Respublika"
195,Verkhivtseve,48.4812,34.2488,Dnipropetrovs’ka Oblast’
196,Kotsyubyns’ke,50.4883,30.3331,"Kyyiv, Misto"
197,Hostomel,50.5692,30.2653,Kyyivs’ka Oblast’
198,Bar,49.0781,27.6831,Vinnyts’ka Oblast’
199,Ukrainka,50.1500,30.7519,Kyyivs’ka Oblast’
200,Horodok,49.7822,23.6436,L’vivs’ka Oblast’
201,Skvyra,49.7333,29.6833,Kyyivs’ka Oblast’
202,Yuvileine,48.5531,39.1742,Luhans’ka Oblast’
203,Ovruch,51.3244,28.8081,Zhytomyrs’ka Oblast’
204,Putyvl,51.3347,33.8686,Sums’ka Oblast’
205,Vynnyky,49.8156,24.1297,L’vivs’ka Oblast’
206,Ostroh,50.3333,26.5167,Rivnens’ka Oblast’
207,Rakhiv,48.0500,24.2167,Zakarpats’ka Oblast’
208,Bohodukhiv,50.1608,35.5164,Kharkivs’ka Oblast’
209,Bilopillya,51.1532,34.3025,Sums’ka Oblast’
210,Tulchyn,48.6744,28.8497,Vinnyts’ka Oblast’
211,Vil’nyans’k,47.9445,35.4331,Zaporiz’ka Oblast’
212,Burshtyn,49.2600,24.6350,Ivano-Frankivs’ka Oblast’
213,Zmiiv,49.6878,36.3558,Kharkivs’ka Oblast’
214,Ochakiv,46.6186,31.5392,Mykolayivs’ka Oblast’
215,Hulyaypole,47.6644,36.2632,Zaporiz’ka Oblast’
216,Radomyshl,50.4947,29.2333,Zhytomyrs’ka Oblast’
217,Stanytsia Luhanska,48.6667,39.4667,Luhans’ka Oblast’
218,Orikhiv,47.5677,35.7849,Zaporiz’ka Oblast’
219,Hola Prystan,46.5167,32.5167,Khersons’ka Oblast’
220,Zolote,48.6833,38.5167,Luhans’ka Oblast’
221,Lebedyn,50.5831,34.4823,Sums’ka Oblast’
222,Kivertsi,50.8331,25.4614,Volyns’ka Oblast’
223,Nyzhnia Krynka,48.1144,38.1606,Donets’ka Oblast’
224,Zhashkiv,49.2500,30.1000,Cherkas’ka Oblast’
225,Zhovkva,50.0667,23.9667,L’vivs’ka Oblast’
226,Horodyshche,49.2925,31.4581,Cherkas’ka Oblast’
227,Apostolove,47.6595,33.7170,Dnipropetrovs’ka Oblast’
228,Talne,48.8863,30.7027,Cherkas’ka Oblast’
229,Kaharlyk,49.8522,30.8092,Kyyivs’ka Oblast’
230,Zelenodolsk,47.5631,33.6524,Dnipropetrovs’ka Oblast’
231,Nosivka,50.9300,31.5800,Chernihivs’ka Oblast’
232,Borodyanka,50.6439,29.9339,Kyyivs’ka Oblast’
233,Slobozhanske,48.5342,35.0749,Dnipropetrovs’ka Oblast’
234,Vasylivka,47.4344,35.2808,Zaporiz’ka Oblast’
235,Izium,49.2238,37.2915,Kharkivs’ka Oblast’
236,Yavoriv,49.9469,23.3931,L’vivs’ka Oblast’
237,Velykodolynske,46.3425,30.5653,Odes’ka Oblast’
238,Tetiiv,49.3708,29.6900,Kyyivs’ka Oblast’
239,Rozhyshche,50.9131,25.2700,Volyns’ka Oblast’
240,Novhorod-Siverskyi,51.9833,33.2667,Chernihivs’ka Oblast’
241,Bershad,48.3728,29.5325,Vinnyts’ka Oblast’
242,Perehinske,48.8103,24.1819,Ivano-Frankivs’ka Oblast’
243,Kamianka-Dniprovska,47.4792,34.4232,Zaporiz’ka Oblast’
244,Shchastia,48.7381,39.2311,Luhans’ka Oblast’
245,Koriukivka,51.7833,32.2500,Chernihivs’ka Oblast’
246,Buchach,49.0647,25.3872,Ternopil’s’ka Oblast’
247,Kamin-Kashyrskyi,51.6242,24.9606,Volyns’ka Oblast’
248,Hnivan,49.0833,28.3500,Vinnyts’ka Oblast’
249,Beryslav,46.8333,33.4167,Khersons’ka Oblast’
250,Vakhrusheve,48.1606,38.8389,Luhans’ka Oblast’
251,Uzyn,49.8242,30.4425,Kyyivs’ka Oblast’
252,Bilovodsk,49.1992,39.5756,Luhans’ka Oblast’
253,Mykhailivka,47.2717,35.2248,Zaporiz’ka Oblast’
254,Horodnia,51.8833,31.5833,Chernihivs’ka Oblast’
255,Ukrainsk,48.1000,37.3667,Donets’ka Oblast’
256,Baranivka,50.3000,27.6667,Zhytomyrs’ka Oblast’
257,Ovidiopol,46.2667,30.4333,Odes’ka Oblast’
258,Vasylkivka,48.2084,36.0253,Dnipropetrovs’ka Oblast’
259,Nemyriv,48.9794,28.8439,Vinnyts’ka Oblast’
260,Prymorsk,46.7333,36.3596,Zaporiz’ka Oblast’
261,Mena,51.5167,32.2167,Chernihivs’ka Oblast’
262,Mala Vyska,48.6500,31.6333,Kirovohrads’ka Oblast’
263,Kalmiuske,47.6667,38.0667,Donets’ka Oblast’
264,Lokhvytsya,50.3610,33.2652,Poltavs’ka Oblast’
265,Yakymivka,46.6967,35.1664,Zaporiz’ka Oblast’
266,Myronivka,49.6500,30.9833,Kyyivs’ka Oblast’
267,Snovsk,51.8167,31.9500,Chernihivs’ka Oblast’
268,Hirnyk,48.0500,37.3667,Donets’ka Oblast’
269,Illintsi,49.1000,29.2000,Vinnyts’ka Oblast’
270,Sosnivka,50.2946,24.2525,L’vivs’ka Oblast’
271,Zhydachiv,49.3833,24.1333,L’vivs’ka Oblast’
272,Rokytne,49.6897,30.4751,Kyyivs’ka Oblast’
273,Bobrynets,48.0578,32.1581,Kirovohrads’ka Oblast’
274,Bobrovytsia,50.7333,31.3833,Chernihivs’ka Oblast’
275,Manevychi,51.2925,25.5503,Volyns’ka Oblast’
276,Hrebinka,50.1180,32.4396,Poltavs’ka Oblast’
277,Baryshivka,50.3703,31.3286,Kyyivs’ka Oblast’
278,Khrystynivka,48.8333,29.9667,Cherkas’ka Oblast’
279,Ichnia,50.8500,32.4000,Chernihivs’ka Oblast’
280,Bolekhiv,49.0669,23.8514,Ivano-Frankivs’ka Oblast’
281,Lyuboml’,51.2158,24.0408,Volyns’ka Oblast’
282,Olevsk,51.2278,27.6481,Zhytomyrs’ka Oblast’
283,Ivankiv,50.9333,29.9000,Kyyivs’ka Oblast’
284,Krasnoilsk,48.0167,25.5833,Chernivets’ka Oblast’
285,Letychiv,49.3833,27.6167,Khmel’nyts’ka Oblast’
286,Verkhnodniprovsk,48.6561,34.3283,Dnipropetrovs’ka Oblast’
287,Oster,50.9486,30.8811,Chernihivs’ka Oblast’
288,Novgorodskoye,48.3156,37.8839,Donets’ka Oblast’
289,Borzna,51.2333,32.4167,Chernihivs’ka Oblast’
290,Shyroke,47.6882,33.2654,Dnipropetrovs’ka Oblast’
291,Inkerman,44.6142,33.6083,"Sevastopol’, Misto"
292,Tarashcha,49.5500,30.5000,Kyyivs’ka Oblast’
293,Radyvyliv,50.1333,25.2500,Rivnens’ka Oblast’
294,Korolevo,48.1500,23.1333,Zakarpats’ka Oblast’
295,Teplodar,46.5036,30.3244,Odes’ka Oblast’
296,Ratne,51.6500,24.5333,Volyns’ka Oblast’
297,Sniatyn,48.4500,25.5667,Ivano-Frankivs’ka Oblast’
298,Dubove,48.1781,23.8863,Zakarpats’ka Oblast’
299,Pereshchepyne,49.0179,35.3598,Dnipropetrovs’ka Oblast’
300,Pokrovske,47.9853,36.2367,Dnipropetrovs’ka Oblast’
301,Zinkiv,50.2081,34.3668,Poltavs’ka Oblast’
302,Berezivka,47.2039,30.9125,Odes’ka Oblast’
303,Kobeliaky,49.1474,34.1993,Poltavs’ka Oblast’
304,Makariv,50.4667,29.8167,Kyyivs’ka Oblast’
305,Vesele,47.0160,34.9124,Zaporiz’ka Oblast’
306,Khodoriv,49.4100,24.3094,L’vivs’ka Oblast’
307,Sofiivka,48.2683,38.1847,Donets’ka Oblast’
308,Mizhhiria,48.5286,23.5019,Zakarpats’ka Oblast’
309,Bilozerka,46.6333,32.4333,Khersons’ka Oblast’
310,Velyka Dymerka,50.5928,30.9103,Kyyivs’ka Oblast’
311,Pohrebyshche,49.4869,29.2733,Vinnyts’ka Oblast’
312,Nyzhnohirskyi,45.4464,34.7344,"Krym, Avtonomna Respublika"
313,Bezliudivka,49.8694,36.2719,Kharkivs’ka Oblast’
314,Dubrovytsya,51.5667,26.5667,Rivnens’ka Oblast’
315,Tysmenytsia,48.9008,24.8492,Ivano-Frankivs’ka Oblast’
316,Irshava,48.3172,23.0375,Zakarpats’ka Oblast’
317,Khotyn,48.5078,26.4860,Chernivets’ka Oblast’
318,Velykyi Bychkiv,47.9714,24.0047,Zakarpats’ka Oblast’
319,Valky,49.8386,35.6217,Kharkivs’ka Oblast’
320,Kalanchak,46.2550,33.2906,Khersons’ka Oblast’
321,Obukhivka,48.5442,34.8664,Dnipropetrovs’ka Oblast’
322,Stryzhavka,49.3103,28.4808,Vinnyts’ka Oblast’
323,Bilenke,48.7664,37.6314,Donets’ka Oblast’
324,Horokhiv,50.4994,24.7650,Volyns’ka Oblast’
325,Hurzuf,44.5528,34.2875,"Krym, Avtonomna Respublika"
326,Horodenka,48.6675,25.5003,Ivano-Frankivs’ka Oblast’
327,Velyki Luchky,48.4200,22.5611,Zakarpats’ka Oblast’
328,Tiachiv,48.0114,23.5722,Zakarpats’ka Oblast’
329,Pomichna,48.2500,31.4167,Kirovohrads’ka Oblast’
330,Kozova,49.4318,25.1544,Ternopil’s’ka Oblast’
331,Uspenka,48.3939,39.1536,Luhans’ka Oblast’
332,Chyhyryn,49.0833,32.6667,Cherkas’ka Oblast’
333,Monastyryshche,48.9900,29.8011,Cherkas’ka Oblast’
334,Chop,48.4333,22.2000,Zakarpats’ka Oblast’
335,Tlumach,48.8669,25.0012,Ivano-Frankivs’ka Oblast’
336,Ilarionove,48.4059,35.2734,Dnipropetrovs’ka Oblast’
337,Kryzhopil,48.3842,28.8625,Vinnyts’ka Oblast’
338,Barvynkove,48.9067,37.0131,Kharkivs’ka Oblast’
339,Rava-Rus’ka,50.2500,23.6167,L’vivs’ka Oblast’
340,Solotvyno,47.9597,23.8669,Zakarpats’ka Oblast’
341,Busk,49.9667,24.6167,L’vivs’ka Oblast’
342,Andrushivka,50.0167,29.0167,Zhytomyrs’ka Oblast’
343,Yasinia,48.2728,24.3747,Zakarpats’ka Oblast’
344,Masandra,44.5167,34.1833,"Krym, Avtonomna Respublika"
345,Bushtyno,48.0503,23.4894,Zakarpats’ka Oblast’
346,Nerubaiske,46.5467,30.6306,Odes’ka Oblast’
347,Kosiv,48.3150,25.0953,Ivano-Frankivs’ka Oblast’
348,Lypovets,49.2161,29.0561,Vinnyts’ka Oblast’
349,Lanivtsi,49.8644,26.0782,Ternopil’s’ka Oblast’
350,Deliatyn,48.5286,24.6236,Ivano-Frankivs’ka Oblast’
351,Vyshkovo,48.0581,23.4164,Zakarpats’ka Oblast’
352,Ivanivka,48.2325,38.9525,Luhans’ka Oblast’
353,Mala Danylivka,50.0614,36.1675,Kharkivs’ka Oblast’
354,Bohorodchany,48.8000,24.5333,Ivano-Frankivs’ka Oblast’
355,Zavodske,50.4002,33.3908,Poltavs’ka Oblast’
356,Novi Sanzhary,49.3354,34.3162,Poltavs’ka Oblast’
357,Krasnopillya,50.7732,35.2717,Sums’ka Oblast’
358,Lysianka,49.2542,30.8207,Cherkas’ka Oblast’
359,Manhush,47.0500,37.3000,Donets’ka Oblast’
360,Tarutyne,46.1846,29.1495,Odes’ka Oblast’
361,Kvasyliv,50.5569,26.2675,Rivnens’ka Oblast’
362,Yaremche,48.4536,24.5564,Ivano-Frankivs’ka Oblast’
363,Ananiv,47.7225,29.9600,Odes’ka Oblast’
364,Semenivka,52.1772,32.5797,Chernihivs’ka Oblast’
365,Yasnohirka,48.7725,37.5506,Donets’ka Oblast’
366,Kushuhum,47.7106,35.2192,Zaporiz’ka Oblast’
367,Pidvolochysk,49.5311,26.1467,Ternopil’s’ka Oblast’
368,Kozelets,50.9164,31.1147,Chernihivs’ka Oblast’
369,Lanchyn,48.5475,24.7517,Ivano-Frankivs’ka Oblast’
370,Rohatyn,49.4167,24.6167,Ivano-Frankivs’ka Oblast’
371,Nemishayeve,50.5624,30.0925,Kyyivs’ka Oblast’
372,Kryve Ozero,47.9333,30.3333,Mykolayivs’ka Oblast’
373,Pivdenne,49.8849,36.0687,Kharkivs’ka Oblast’
374,Dykanka,49.8222,34.5341,Poltavs’ka Oblast’
375,Trostianets,48.5120,29.2137,Vinnyts’ka Oblast’
376,Velykyi Dalnyk,46.4658,30.5583,Odes’ka Oblast’
377,Khoroshiv,50.6000,28.4500,Zhytomyrs’ka Oblast’
